Date,Close/Last,Volume,Open,High,Low
8/8/2023,$44.66,353843400,$44.85,$45.24,$44.06
8/7/2023,$45.42,322153500,$45.11,$45.54,$44.56
8/4/2023,$44.68,362666200,$44.99,$45.64,$44.39
8/3/2023,$44.52,325076600,$43.80,$45.12,$43.80
8/2/2023,$44.27,530141600,$45.83,$45.84,$43.39
8/1/2023,$46.51,239276000,$46.46,$46.90,$46.03
07/31/2023,$46.73,251055300,$46.75,$47.13,$46.51
07/28/2023,$46.75,331194200,$46.67,$47.03,$46.38
07/27/2023,$45.90,455975500,$46.52,$47.40,$45.75
07/26/2023,$45.45,364237300,$46.02,$46.05,$44.63
07/25/2023,$45.68,348080900,$44.94,$46.18,$44.92
07/24/2023,$44.61,383099700,$44.73,$45.11,$44.04
07/21/2023,$44.31,963768600,$45.79,$45.87,$44.10
07/20/2023,$45.52,537864500,$46.51,$47.09,$45.06
07/19/2023,$47.08,427501800,$47.46,$47.82,$46.74
07/18/2023,$47.49,570190400,$46.70,$47.90,$45.73
07/17/2023,$46.46,510488200,$46.29,$46.50,$45.26
07/14/2023,$45.47,772075300,$46.58,$48.09,$45.06
07/13/2023,$45.98,478203700,$44.52,$46.16,$44.49
7/12/2023,$43.90,481277000,$43.03,$43.94,$42.78
7/11/2023,$42.41,298244100,$42.48,$42.76,$42.07
7/10/2023,$42.18,353908100,$42.66,$42.81,$41.65
7/7/2023,$42.50,355881500,$42.32,$43.21,$42.18
7/6/2023,$42.10,304138800,$41.84,$42.18,$41.35
7/5/2023,$42.32,323617600,$42.14,$43.18,$42.09
7/3/2023,$42.41,197754100,$42.52,$42.90,$42.20
06/30/2023,$42.30,501147800,$41.68,$42.55,$41.50
06/29/2023,$40.82,380514300,$41.56,$41.60,$40.60
06/28/2023,$41.12,582639300,$40.66,$41.85,$40.52
06/27/2023,$41.88,462174700,$40.80,$41.94,$40.45
06/26/2023,$40.63,594321900,$42.46,$42.76,$40.10
06/23/2023,$42.21,358139800,$42.46,$42.81,$42.02
06/22/2023,$43.03,417737400,$42.25,$43.43,$42.23
06/21/2023,$43.05,551602900,$43.50,$43.62,$42.08
06/20/2023,$43.81,451153100,$43.00,$43.99,$42.67
06/16/2023,$42.69,655709400,$43.45,$43.72,$42.66
06/15/2023,$42.65,568622000,$42.60,$43.29,$42.15
06/14/2023,$43.00,740465000,$40.82,$43.00,$40.55
06/13/2023,$41.02,613208200,$40.19,$41.10,$39.74
6/12/2023,$39.48,389673400,$39.20,$39.53,$38.62
6/9/2023,$38.77,427717500,$39.04,$39.71,$38.57
6/8/2023,$38.51,417772400,$37.72,$38.86,$37.51
6/7/2023,$37.48,511997900,$38.92,$39.50,$37.36
6/6/2023,$38.65,388729100,$38.83,$39.16,$38.15
6/5/2023,$39.17,396093800,$38.91,$39.57,$38.71
6/2/2023,$39.33,482731200,$40.10,$40.50,$39.06
6/1/2023,$39.77,635873000,$38.49,$40.05,$38.34
05/31/2023,$37.83,1002580000,$39.49,$40.30,$37.82
05/30/2023,$40.11,923401100,$40.60,$41.94,$39.95
05/26/2023,$38.95,714396800,$37.89,$39.17,$37.55
05/25/2023,$37.98,1543911000,$38.52,$39.48,$36.64
05/24/2023,$30.54,721418500,$30.21,$30.61,$29.81
05/23/2023,$30.69,356253300,$31.00,$31.29,$30.63
05/22/2023,$31.18,371999700,$30.90,$31.52,$30.68
05/19/2023,$31.26,473907700,$31.54,$31.58,$30.92
05/18/2023,$31.68,748725000,$30.41,$31.83,$30.32
05/17/2023,$30.18,432535400,$29.58,$30.20,$29.43
05/16/2023,$29.21,449404900,$28.84,$29.87,$28.83
05/15/2023,$28.95,293925900,$28.51,$28.97,$28.15
5/12/2023,$28.34,274222300,$28.53,$28.78,$28.05
5/11/2023,$28.58,322149000,$28.90,$28.95,$28.25
5/10/2023,$28.89,369350000,$29.01,$29.11,$28.46
